    StationName,StationCode
Bole international Airport,ADD
Dubai International Airport,DXB
Luanda International Airport,LAD
Ezeiza International Airport,EZE
Vienna International Airport,VIE
Brussels Airport,BRU
Ouagadougou Thomas Sankara International Airport,OUA
Bahrain International Airport,BAH
Melchior Ndadaye International Airport,BJM
Cotonou Cadjehoun International Airport,COO
Sao Paulo Guarulhos International Airport,GRU
RIOgaleao  Aeroporto Internacional Tom Jobim,RIO
Sir Seretse Khama International Airport,GBE
Chhatrapati Shivaji Maharaj International Airport,BOM
Kotoka International Airport ,ACC
Toronto Pearson International Airport,YYZ
Ndjili International Airport,FIH
Luano International Airport,FBM
Kisangani Bangoka International Airport,FKI
Goma International Airport,GOM
Mbuji Mayi Airport,MJM
Maya Maya International Airport,BZV
Aeroport international Agostino Neto,PNR
Geneva Airport,GVA
Zurich Airport,ZRH
Felix Houphouet Boigny International Airport,ABJ
Douala International Airport,DLA
Yao Airport,YAO
Beijing Capital International Airport,BJS
Guangzhou Baiyun International Airport,CAN
Santander Airport,SDR
Zhengzhou Xinzheng International Airport,CGO
Ahmed Sekou Toure International Airport,CKY
Chengdu Shuangliu International Airport,CTU
Malabo International Airport,SSG
Hong Kong International Airport,HKG
Athens International Airport ,ATH
Shanghai Hongqiao International Airport,SHA
Wuhan Tianhe International Airport,WUH
Sikorsky Memorial Airport,BDR
Frankfurt Airport,FRA
Soekarno Hatta International Airport,CGK
Dublin Airport,DUB
Munich International Airport,MUC
Djibouti Ambouli International Airport,JIB
Ben Gurion International Airport,TLV
Copenhagen Airport,CPH
Cairo International Airport,CAI
Sardar Vallabhbhai Patel International Airport,AMD
Asmara International Airport,ASM
Josep Tarradellas Barcelona El Prat Airport,BCN
Kempegowda International Airport Bengaluru,BLR
Adolfo Suarez Madrid Barajas Airport,MAD
Indira Gandhi International Airport,DEL
Chennai International Airport,MAA
Tommanggong Airport,TMG
Milan Malpensa Airport,MXP
Leonardo da Vinci�Fiumicino Airport,FCO
Queen Alia International Airport,AMM
Moi International Airport,MBA
Jomo Kenyatta International Airport,NBO
Prince Said Ibrahim International Airport,HAH
Incheon International Airport,ICN
Kuwait International Airport,KWI
Beirut-Rafic Al Hariri International Airport,BEY
Fascene Airport,NOS
Ivato International Airport,TNR
Modibo Keita International Airport ,BKO
Chileka International Airport,BLZ
Kamuzu International Airport,LLW
Marseille Provence Airport,MRS
Kuala Lumpur International Airport,KUL
Leon Mba Libreville International Airport,LBV
London Gatwick Airport,LGW
Beira Internacional Airport,BEW
Heathrow Airport,LHR
Maputo International Airport,MPM
Manchester Airport,MAN
Hosea Kutako International Airport,WDH
Diori Hamani International Airport,NIM
Nnamdi Azikiwe International Airport,ABV
Akanu Ibiam International Airport,ENU
Kaduna International Airport,KAD
Mallam Aminu Kano International Airport ,KAN
Murtala Muhammed International Airport,LOS
Oslo Airport,OSL
Muscat International Airport,MCT
Ninoy Aquino International Airport,MNL
Jinnah International Airport,KHI
Humberto Delgado Airport,LIS
Hamad International Airport,DOH
Moscow Domodedovo Mikhail Lomonosov Airport,DME
Kigali International Airport,KGL
King Fahd International Airport,DMM
King Abdulaziz International Airport,JED
Prince Mohammed Bin Abdulaziz International Airport,MED
King Khalid International Airport,RUH
Seychelles International Airport,SEZ
Khartoum International Airport,KRT
Stockholm Arlanda Airport,ARN
Singapore Changi Airport,SIN
Blaise Diagne International Airport,DSS
Entebbe International Airport,EBB
Bosaso International Airport,BSA
General Mohamed Abshir International Airport,GGR
Hargeisa International Airport,HGA
Aden Adde International Airport,MGQ
Juba International Airport,JUB
NDjamena International Airport,NDJ
Gnassingb� Eyad�ma International Airport,LFW
Suvarnabhumi Airport,BKK
Istanbul Airport,IST
Julius Nyerere International Airport,DAR
Kilimanjaro International Airport,JRO
Abeid Amani Karume International Airport,ZNZ
Hartsfield-Jackson Atlanta International Airport,ATL
Chicago O'Hare International Airport,ORD
Newark Liberty International Airport,EWR
George Bush Intercontinental Airport,IAH
John F. Kennedy International Airport,JFK
Los Angeles International Airport,LAX
Cape Town International Airport,CPT
O. R. Tambo International Airport,JNB
Kenneth Kaunda International,LUN
Simon Mwansa Kapwepwe International Airport,NLA
Joshua Mqabuko Nkomo International Airport,BUQ
Robert Gabriel Mugabe International Airport,HRE
Victoria Falls Airport ,VFA
Villa Dolores Airport,VDR
Kampala beth,EBB
Paris Charles de Gaulle Airport,CDG
Freetown International Airport,FNA
Banjul International Airport,BJL
Allama Iqbal International Airport,LHE
Edmonton International Airport,YEG
Aksum Airport,AXU
Yaound� Nsimalen International Airport,NSI
Narita International Airport ,NRT
Dulles International Airport,WAS
Test Airport,TTT
Bangui international airport,BGF
